Metric,All (1),Bernanke (2),Yellen (3),Powell (4)
Positive (count),377,200,109,68
Negative (count),285,43,131,111
Neutral (count),30,0,28,2
Voice tone mean,0.09,0.64,-0.13,-0.3
Voice tone standard deviation,0.75,0.58,0.61,0.82
